number,value,datetime_start,datetime_complete,duration,params_classifier,params_lr_c,params_lr_solver,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_xgb_lr,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_subsample,state
0,0.17536623955525657,2026-08-15 16:46:37.054150,2026-08-15 16:46:40.724008,0 days 00:00:03.669858,RandomForest,,,6.0,2.0,290.0,,,,,COMPLETE
1,0.19701166988124458,2026-08-15 16:46:40.724008,2026-08-15 16:46:43.707407,0 days 00:00:02.983399,RandomForest,,,12.0,9.0,211.0,,,,,COMPLETE
2,0.13200770142819065,2026-08-15 16:46:43.707407,2026-08-15 16:46:44.368025,0 days 00:00:00.660618,RandomForest,,,3.0,3.0,263.0,,,,,COMPLETE
3,0.19413243232886868,2026-08-15 16:46:44.368025,2026-08-15 16:46:45.155351,0 days 00:00:00.787326,RandomForest,,,14.0,2.0,188.0,,,,,COMPLETE
4,0.12720646096500313,2026-08-15 16:46:45.155351,2026-08-15 16:46:45.547637,0 days 00:00:00.392286,XGBoost,,,,,,0.014947106586252592,2.0,130.0,0.7149628295288399,COMPLETE
5,0.13656309106373363,2026-08-15 16:46:45.547637,2026-08-15 16:46:46.050009,0 days 00:00:00.502372,XGBoost,,,,,,0.016029655542411685,6.0,114.0,0.8697090802188236,COMPLETE
6,0.16746084700004096,2026-08-15 16:46:46.050009,2026-08-15 16:46:47.565296,0 days 00:00:01.515287,XGBoost,,,,,,0.013163550996110909,8.0,231.0,0.9208786871297625,COMPLETE
7,0.18712208333631705,2026-08-15 16:46:47.565296,2026-08-15 16:46:48.248031,0 days 00:00:00.682735,RandomForest,,,12.0,2.0,234.0,,,,,COMPLETE
8,0.1999045295429235,2026-08-15 16:46:48.248031,2026-08-15 16:46:48.448967,0 days 00:00:00.200936,RandomForest,,,12.0,3.0,68.0,,,,,COMPLETE
9,0.15321080056783637,2026-08-15 16:46:48.448967,2026-08-15 16:46:49.002090,0 days 00:00:00.553123,RandomForest,,,4.0,6.0,242.0,,,,,COMPLETE
10,0.1394704801309363,2026-08-15 16:46:49.002090,2026-08-15 16:46:49.040088,0 days 00:00:00.037998,LogisticRegression,9.385465022258998,lbfgs,,,,,,,,COMPLETE
11,0.13737292547337643,2026-08-15 16:46:49.040088,2026-08-15 16:46:49.094117,0 days 00:00:00.054029,LogisticRegression,0.0011028160786893276,saga,,,,,,,,COMPLETE
12,0.1813259218735826,2026-08-15 16:46:49.094117,2026-08-15 16:46:49.387598,0 days 00:00:00.293481,RandomForest,,,10.0,10.0,88.0,,,,,COMPLETE
13,0.18693919645919,2026-08-15 16:46:49.387598,2026-08-15 16:46:49.597709,0 days 00:00:00.210111,RandomForest,,,10.0,9.0,77.0,,,,,COMPLETE
14,0.1970827868363887,2026-08-15 16:46:49.597709,2026-08-15 16:46:50.092512,0 days 00:00:00.494803,RandomForest,,,15.0,6.0,144.0,,,,,COMPLETE
15,0.1394599205129024,2026-08-15 16:46:50.092512,2026-08-15 16:46:50.132063,0 days 00:00:00.039551,LogisticRegression,0.09780640275811094,saga,,,,,,,,COMPLETE
16,0.19905312152552615,2026-08-15 16:46:50.132063,2026-08-15 16:46:50.703050,0 days 00:00:00.570987,RandomForest,,,15.0,5.0,136.0,,,,,COMPLETE
17,0.18815051566736418,2026-08-15 16:46:50.703050,2026-08-15 16:46:51.120054,0 days 00:00:00.417004,RandomForest,,,13.0,5.0,132.0,,,,,COMPLETE
18,0.1394704801309363,2026-08-15 16:46:51.120054,2026-08-15 16:46:51.148084,0 days 00:00:00.028030,LogisticRegression,8.418700083082568,lbfgs,,,,,,,,COMPLETE
19,0.18841069200824698,2026-08-15 16:46:51.148084,2026-08-15 16:46:51.523376,0 days 00:00:00.375292,XGBoost,,,,,,0.29638876421955374,2.0,259.0,0.6006439915577172,COMPLETE
20,0.1810873029571335,2026-08-15 16:46:51.523376,2026-08-15 16:46:51.684409,0 days 00:00:00.161033,RandomForest,,,10.0,4.0,56.0,,,,,COMPLETE
21,0.19835939006828546,2026-08-15 16:46:51.684409,2026-08-15 16:46:52.130919,0 days 00:00:00.446510,RandomForest,,,15.0,6.0,143.0,,,,,COMPLETE
22,0.18947583351862088,2026-08-15 16:46:52.130919,2026-08-15 16:46:52.620882,0 days 00:00:00.489963,RandomForest,,,15.0,7.0,137.0,,,,,COMPLETE
23,0.2052241032236831,2026-08-15 16:46:52.620882,2026-08-15 16:46:53.013351,0 days 00:00:00.392469,RandomForest,,,13.0,4.0,112.0,,,,,COMPLETE
24,0.1935785769551152,2026-08-15 16:46:53.013351,2026-08-15 16:46:53.319572,0 days 00:00:00.306221,RandomForest,,,12.0,4.0,104.0,,,,,COMPLETE
25,0.18872845724235052,2026-08-15 16:46:53.319572,2026-08-15 16:46:53.761392,0 days 00:00:00.441820,RandomForest,,,8.0,4.0,113.0,,,,,COMPLETE
26,0.19333325707099847,2026-08-15 16:46:53.761392,2026-08-15 16:46:54.029909,0 days 00:00:00.268517,RandomForest,,,13.0,3.0,57.0,,,,,COMPLETE
27,0.1950113885048094,2026-08-15 16:46:54.029909,2026-08-15 16:46:54.802279,0 days 00:00:00.772370,RandomForest,,,13.0,5.0,171.0,,,,,COMPLETE
28,0.13747320672927293,2026-08-15 16:46:54.802279,2026-08-15 16:46:54.845575,0 days 00:00:00.043296,LogisticRegression,0.001058521359218999,lbfgs,,,,,,,,COMPLETE
29,0.1759568588775799,2026-08-15 16:46:54.845575,2026-08-15 16:46:55.097405,0 days 00:00:00.251830,XGBoost,,,,,,0.12941779453664207,5.0,71.0,0.9952235817377704,COMPLETE
